id,first_name,last_name,email,phone,address,city,state,zip,company_id,role,created_at
357,Melinda,Morissette,Melinda.Morissette@hotmail.com,(426) 636-2721,1766 Sycamore Drive,Walterworth,NJ,47000,,Volunteer,2023-12-16
358,Bryan,Hansen,Bryan_Hansen@gmail.com,(546) 668-7446,2503 Jarrell Junctions,Alvertabury,PA,73459,,Event Attendee,2020-08-03
359,Clara,Gottlieb,Clara_Gottlieb@yahoo.com,(655) 277-1556,4198 Milo Grove,Farmington,ID,81709-0944,,Volunteer,2025-04-09
360,Jimmy,Carter,Jimmy.Carter87@yahoo.com,(378) 623-3326,9187 Elm Road,Fort Floyd,AR,17687-1374,,Individual Donor,2022-11-10
361,Ruth,Cummerata,Ruth.Cummerata@gmail.com,(454) 237-6116,56451 Oberbrunner Keys,Kleinborough,KS,06830,,Event Attendee,2025-05-05
362,Cecile,Runte,Cecile.Runte@yahoo.com,(904) 637-9922,8782 Wanda Rapids,Alpharetta,LA,05402-2162,,Event Attendee,2019-05-22
363,Mindy,Thiel,Mindy.Thiel0@gmail.com,(520) 577-8093,12614 Stanton Fall,Dearborn,ND,17213,,Event Attendee,2023-07-16
364,Guadalupe,Rogahn,Guadalupe.Rogahn@hotmail.com,(927) 622-4428,640 N State Street,Jaskolskistad,WV,21700,10,VP of Giving,2021-08-13
365,Jorge,Sauer,Jorge.Sauer16@hotmail.com,(691) 338-2809,469 Cormier Port,Port Josefabury,AZ,90493,,Volunteer,2022-04-26
366,Ray,Hyatt,Ray.Hyatt@hotmail.com,(839) 292-0435,755 Romaine Shores,Konopelskiworth,UT,36533-4542,,Program Participant,2024-02-14
367,Hubert,Nitzsche,Hubert_Nitzsche@hotmail.com,(768) 744-7823,75151 Schmidt Landing,Lake Ciaracester,MS,87028,,Event Attendee,2020-02-06
368,Martin,Rodriguez,Martin_Rodriguez95@gmail.com,(776) 684-0868,85830 Glover Rapids,Pinellas Park,VT,78756,,Event Attendee,2023-10-17
369,Cale,Quitzon,Cale.Quitzon@yahoo.com,(506) 446-9843,78444 Simeon Trace,Mountain View,PA,66989,14,Program Officer,2024-09-14
370,Vicky,Herman,Vicky.Herman@gmail.com,(788) 976-3169,5092 Arden Orchard,North Gennarofurt,CO,41500,,Individual Donor,2022-10-25
371,Hugh,Hilll,Hugh.Hilll31@hotmail.com,(703) 867-8764,882 Harrison Street,Lake Ellis,AZ,73667,,Volunteer,2024-11-09
372,Edward,Daugherty,Edward.Daugherty@yahoo.com,(980) 457-5721,89236 Serena Common,East Edgardoland,AR,19362-2557,,Event Attendee,2022-08-24
373,Erich,Boyle,Erich.Boyle14@gmail.com,(630) 226-0512,468 Clifton Road,Murielfort,SC,15731,,Individual Donor,2023-11-18
374,Jalyn,Considine,Jalyn.Considine8@yahoo.com,(850) 981-9434,73430 N Pine Street,Oberbrunnermouth,CA,14676-6130,27,Program Officer,2023-11-24
375,Victor,Nicolas,Victor_Nicolas77@gmail.com,(435) 316-7534,28465 Mill Close,West Rylan,MS,97096,,Event Attendee,2020-11-13
376,Cordell,Moore,Cordell.Moore32@hotmail.com,(933) 867-6929,8758 Station Street,East Providence,IN,79061-5110,,Volunteer,2023-05-31
377,Lynn,Willms,Lynn_Willms@yahoo.com,(599) 989-2879,4750 Salisbury Road,Fort Damionport,CO,33807-5950,,Event Attendee,2020-04-10
378,Marquis,Miller,Marquis.Miller44@hotmail.com,(660) 812-6441,4197 Novella Road,West Lennieport,RI,19271,,Program Participant,2021-10-12
379,George,Brekke,George_Brekke@gmail.com,(356) 689-1116,3584 Ullrich Neck,Devynstead,NH,98754,,Event Attendee,2020-12-31
380,Lucas,Lindgren,Lucas_Lindgren67@gmail.com,(343) 751-8277,45499 Jackson Avenue,Huelsburgh,LA,34939,,Volunteer,2021-03-28
381,Esther,Kessler,Esther.Kessler32@hotmail.com,(717) 741-3371,188 Kuhn Harbors,Broken Arrow,NJ,97613-1877,,Event Attendee,2021-04-05
382,Noel,Dickens,Noel_Dickens@yahoo.com,(526) 644-9712,33779 Aditya Ramp,West Kasey,CO,36819-5926,,Event Attendee,2022-03-09
383,Elliot,Grimes,Elliot_Grimes@yahoo.com,(859) 394-5156,6488 The Fairway,Georgianahaven,MO,51632,,Event Attendee,2025-03-06
384,Fatima,Stark,Fatima_Stark33@hotmail.com,(738) 470-3389,59967 Mireille Pass,North Bernadinecester,DE,35765,47,Accounts Payable,2022-07-07
385,Viva,Ratke,Viva_Ratke88@yahoo.com,(493) 636-9080,1299 Wood Lane,Allen,IA,02588,,Volunteer,2023-05-03
386,Ambrose,Collier,Ambrose_Collier@gmail.com,(510) 786-1994,222 Okuneva Bridge,South Esperanza,VT,63785-7753,37,Foundation Contact,2024-01-15
387,Viviane,Pouros,Viviane.Pouros26@hotmail.com,(319) 448-6678,895 Madison Avenue,Deonfield,WY,08692,,Program Participant,2020-05-20
388,Kaia,Littel,Kaia_Littel31@gmail.com,(450) 371-2704,139 Trudie Ville,Minot,NC,76969-0143,,Event Attendee,2024-03-28
389,Astrid,Braun,Astrid.Braun35@gmail.com,(940) 587-5245,300 Murphy Glens,Potomac,LA,90344-5366,,Individual Donor,2020-11-20
390,Jensen,Kunze,Jensen.Kunze@yahoo.com,(249) 590-7559,506 Demarco Groves,Kundetown,NM,94727,,Event Attendee,2023-11-27
391,Destiney,Schultz,Destiney.Schultz@gmail.com,(236) 781-4030,8616 Hans Curve,East Kailynmouth,MT,67386,,Individual Donor,2023-11-11
392,Andy,Howe,Andy_Howe93@yahoo.com,(726) 309-5933,420 Noel Knolls,Parkerville,DE,73002-0241,,Event Attendee,2020-07-25
393,Tiana,Harris,Tiana.Harris11@gmail.com,(534) 569-1085,55124 Hamill Creek,Fort Tyramouth,WY,01968-8401,,Volunteer,2020-05-11
394,Thomas,Tremblay,Thomas.Tremblay53@hotmail.com,(442) 358-1029,707 Damaris Neck,Lake Leo,CO,91534-2309,,Event Attendee,2023-05-20
395,Isabel,Fisher,Isabel_Fisher26@gmail.com,(312) 745-1870,4636 Amelia Unions,West Seneca,OK,51128-1957,,Event Attendee,2018-07-21
396,Myriam,Klocko,Myriam.Klocko54@gmail.com,(238) 247-9949,45075 E Washington Street,Yucaipa,VA,85167-9526,,Volunteer,2025-04-21
397,Delphia,Swaniawski,Delphia_Swaniawski@hotmail.com,(960) 669-9809,6129 Western Road,East Joan,MO,73135,,Individual Donor,2023-12-07
398,Erik,Hermiston,Erik.Hermiston@hotmail.com,(777) 728-7798,111 Zieme Curve,Fort Shannytown,PA,74902-3495,,Board Member,2020-03-30
399,Jesse,Spencer,Jesse.Spencer2@yahoo.com,(905) 220-8596,792 N State Street,East Sonya,NJ,52339-0999,,Event Attendee,2020-05-19
400,Kirk,Nolan,Kirk.Nolan@gmail.com,(733) 907-3073,816 Kristy Port,Apple Valley,CA,38878,,Executive Director,2021-09-30
401,Randy,Rice,Randy_Rice77@hotmail.com,(325) 450-5354,1958 Manor Gardens,Hattieport,VT,16957-7337,,Program Participant,2022-09-15
402,Merle,Terry,Merle.Terry@gmail.com,(612) 564-3520,54043 Washington Road,West Irmaport,RI,07855,,Volunteer,2020-11-18
403,Gertrude,Monahan,Gertrude_Monahan99@gmail.com,(491) 629-9834,383 Jakubowski Club,Carmel,LA,01028,,Individual Donor,2021-11-02
404,Heather,Kerluke,Heather_Kerluke60@yahoo.com,(957) 338-0547,4308 Willow Grove,Loweboro,WY,66802-6864,,Staff,2021-12-16
405,Kian,Zulauf,Kian_Zulauf@gmail.com,(254) 984-7150,64875 Shanel Knolls,Lincoln,OH,73311,,Volunteer,2021-01-02
406,Jennie,Bogan,Jennie_Bogan59@hotmail.com,(203) 716-2777,895 South Street,East Antonettaborough,MS,47620-5793,,Volunteer,2024-11-08
407,Christy,Pacocha,Christy.Pacocha@yahoo.com,(324) 725-6488,641 N Broad Street,Lailaberg,CT,22854,,Program Participant,2023-09-25
408,Abel,Murphy,Abel.Murphy6@yahoo.com,(247) 366-2664,2188 Rowan Close,Coltonview,OH,09826-9054,44,Foundation Contact,2022-03-22
409,Hertha,Blick,Hertha.Blick43@hotmail.com,(556) 734-3548,3140 Breitenberg Brook,Tulsa,HI,24427-1076,,Volunteer,2020-06-28
410,Wallace,Crona-Bechtelar,Wallace.Crona-Bechtelar@yahoo.com,(635) 460-6205,9425 Halvorson Rapids,Thousand Oaks,IA,33173,,Program Participant,2024-10-06
411,Sophie,Langosh,Sophie.Langosh@hotmail.com,(484) 595-4623,1687 Saige Greens,Bellevue,MO,27606-4198,48,CSR Manager,2021-08-01
412,Donato,Hamill-Cronin,Donato.Hamill-Cronin@yahoo.com,(779) 397-7356,4189 Ryan Terrace,Baumbachville,AR,33205,46,VP of Giving,2021-06-24
413,Freddie,Dach,Freddie.Dach10@gmail.com,(204) 478-7517,44097 Clinton Street,Lehnerworth,PA,81060-1726,,Program Participant,2024-12-19
414,Eugenia,Turcotte,Eugenia_Turcotte@yahoo.com,(414) 559-6619,4570 Wilderman Ford,Waterbury,IN,27727-8310,,Volunteer,2023-02-12
415,Jim,Pollich,Jim.Pollich78@yahoo.com,(957) 249-8034,207 Lindsay Radial,Port Kathleen,UT,80204-8483,,Event Attendee,2021-11-02
416,Frank,Ritchie,Frank.Ritchie78@gmail.com,(730) 852-8027,272 Bartoletti Cove,West Stefanie,PA,52333-6531,,Individual Donor,2020-02-13
417,Shari,Larson,Shari.Larson59@hotmail.com,(346) 841-4746,175 Roberts Walk,East Taryn,ND,57794,,Program Participant,2021-08-03
418,Arthur,Bergstrom,Arthur.Bergstrom@yahoo.com,(634) 236-9956,5777 Murray Neck,Lavernshire,GA,03261-8864,,Program Participant,2022-08-30
419,Edgar,Beatty,Edgar.Beatty@gmail.com,(336) 967-3248,300 Chase Shoal,Port Chadrick,MO,66924-8002,,Individual Donor,2023-06-06
420,Antonietta,Hoppe,Antonietta.Hoppe@hotmail.com,(279) 234-1827,80319 W Market Street,Linden,ID,27006,,Board Member,2023-06-23
421,Darren,Hegmann,Darren.Hegmann@gmail.com,(427) 976-2528,474 Windmill Lane,Port Lilly,SD,42059-7387,,Program Participant,2021-07-11
422,Ronald,Morissette,Ronald_Morissette2@hotmail.com,(962) 388-2487,95588 Walter Causeway,New Ferneport,KY,85972,,Volunteer,2021-06-06
423,Erica,Lindgren,Erica_Lindgren@hotmail.com,(321) 856-2673,182 Batz Parkway,Hillsberg,NE,32293-0761,,Event Attendee,2025-05-02
424,Alexis,Wunsch-Grady,Alexis_Wunsch-Grady51@yahoo.com,(514) 844-5583,1853 Ulices Meadows,West Donald,NM,84842-9339,,Event Attendee,2020-09-21
425,Edwin,Feeney,Edwin.Feeney@yahoo.com,(674) 376-5627,690 Bahringer Forest,Arlington,MI,48673,,Event Attendee,2025-02-11
426,Guy,Lowe,Guy.Lowe@gmail.com,(896) 766-1534,550 Adam Valley,Janehaven,NM,28101-2262,,Event Attendee,2023-08-31
427,April,Gerlach,April.Gerlach@gmail.com,(390) 257-9406,513 Colby Canyon,Rachellestead,NM,38084,,Program Participant,2024-07-13
428,Arlene,Ratke,Arlene.Ratke58@hotmail.com,(346) 230-7609,2221 Ziemann Plain,Jastborough,VA,42717-8199,,Volunteer,2022-09-06
429,Parker,VonRueden,Parker.VonRueden71@hotmail.com,(259) 676-4782,5054 Lancaster Road,Bradtkeville,CT,57656,50,Corporate Contact,2021-11-02
430,Sonia,Stokes,Sonia_Stokes@yahoo.com,(963) 229-4448,5846 Chauncey Island,Virginiaworth,TX,96370,49,Foundation Contact,2020-10-16
431,Alfredo,White,Alfredo.White@gmail.com,(663) 378-1421,868 Collier Hollow,Glendale,UT,33011,,Program Participant,2022-03-10
432,Emmett,Thompson,Emmett_Thompson54@gmail.com,(989) 732-6968,6304 Grant Streets,West Bradyview,AK,44525,,Program Participant,2022-10-03
433,Nikki,Kirlin,Nikki_Kirlin@yahoo.com,(543) 640-2285,9524 Boyer Roads,South Quincyport,TX,92087,,Volunteer,2021-04-03
434,Willow,Jacobson,Willow_Jacobson13@yahoo.com,(261) 893-4798,9527 Crooks Neck,Sparks,NJ,04732,,Event Attendee,2025-01-16
435,Marty,Sauer,Marty_Sauer0@hotmail.com,(364) 442-9085,80763 Sycamore Avenue,Greenwood,OH,58025-1964,,Individual Donor,2024-05-30
436,Earline,Thompson-Leuschke,Earline.Thompson-Leuschke51@yahoo.com,(962) 549-1088,724 Heathcote Rue,Aliciaside,IA,99825-2260,,Program Participant,2025-04-01
437,Kelvin,Ankunding,Kelvin.Ankunding81@gmail.com,(358) 357-8976,93923 Ruecker Lodge,Asheville,WA,84861,,Event Attendee,2022-08-03
438,Zack,Kunze,Zack.Kunze10@yahoo.com,(306) 878-6729,7752 S East Street,West Theodora,VT,00265,,Volunteer,2021-03-02
439,Viola,Murphy,Viola_Murphy29@gmail.com,(282) 498-1790,9693 Steuber Crescent,Longmont,WA,74659,,Individual Donor,2023-09-30
440,Jerel,Ruecker,Jerel.Ruecker94@yahoo.com,(752) 883-5263,51834 Rutherford Lights,Binsberg,NV,00163-8013,,Event Attendee,2023-05-24
441,Eloise,Doyle,Eloise.Doyle43@yahoo.com,(435) 663-3612,375 York Street,Rogers,MD,90525-4559,,Event Attendee,2022-12-28
442,Allison,Beier,Allison.Beier58@gmail.com,(365) 359-0600,9739 Antonina Well,Laguna Niguel,ND,12490-7046,55,Corporate Contact,2023-09-20
443,Earline,Feest,Earline_Feest@hotmail.com,(927) 966-2557,8883 Duke Street,Whitetown,MN,71961-0701,,Individual Donor,2023-02-11
444,Belinda,Mueller,Belinda_Mueller31@gmail.com,(558) 387-7005,52859 Casper Curve,Rancho Cordova,AZ,43180-2315,,Event Attendee,2020-01-24
445,Blake,Dach,Blake_Dach72@yahoo.com,(703) 583-0349,45786 Marjolaine Way,Summerville,KS,86294-1164,,Event Attendee,2018-06-22
446,Christie,Champlin,Christie_Champlin20@hotmail.com,(476) 829-7302,3032 Wuckert Court,Fort Serena,MD,07954-1656,,Event Attendee,2020-02-21
447,Cristina,Harris,Cristina.Harris@gmail.com,(759) 959-4226,4458 The Crescent,Port Blancheland,WV,58966-7217,,Event Attendee,2021-11-13
448,Alanna,Dicki,Alanna.Dicki45@hotmail.com,(676) 458-0056,5536 York Road,Milford,GA,92217-4085,,Staff,2021-10-16
449,Theresia,Boehm,Theresia_Boehm@yahoo.com,(477) 230-9157,5380 Emmerich Road,Port Rodrigohaven,DE,08757-0529,,Individual Donor,2024-08-22
450,Carolanne,Ebert,Carolanne_Ebert@gmail.com,(718) 701-6677,4984 Hane Fords,Quinnborough,GA,07543,,Individual Donor,2024-11-24
451,Deven,Hilll,Deven.Hilll74@hotmail.com,(777) 976-2919,400 Wintheiser Mission,Emilioburgh,AK,41078,,Program Participant,2023-04-10
452,Abdiel,Torp,Abdiel.Torp@hotmail.com,(273) 319-1850,630 Clifton Road,New Jaylin,GA,18091,,Board Member,2020-08-06
453,Jeffrey,Vandervort,Jeffrey.Vandervort@hotmail.com,(624) 810-6096,785 Nelson Road,New Desmond,MN,13837,,Board Member,2020-12-12
454,Aubree,Denesik,Aubree.Denesik@yahoo.com,(908) 833-0040,2066 Deckow Parks,New Kayceechester,VT,99798-7008,,Volunteer,2020-06-12
455,Lorenz,Stroman,Lorenz.Stroman75@hotmail.com,(509) 813-1708,9877 Donald Center,East Shaniaburgh,WI,24298-0970,,Individual Donor,2022-05-05
456,Gabriel,Ortiz,Gabriel.Ortiz37@yahoo.com,(958) 480-9937,4804 Barn Close,Schuppechester,AL,32962,,Event Attendee,2025-01-12
457,Jamie,Huels,Jamie.Huels@hotmail.com,(310) 435-2924,172 Jeremie Lake,Karleyborough,FL,35697-0894,,Event Attendee,2025-04-01
458,Leigh,Hills,Leigh_Hills52@hotmail.com,(239) 997-5557,87039 Leffler Harbor,Wileyworth,RI,43974,,Individual Donor,2020-01-16
459,Doyle,Lind,Doyle_Lind94@hotmail.com,(830) 435-6723,97454 Torphy Crossing,North Emanuelville,HI,23065,,Volunteer,2018-06-27
460,Orland,Jaskolski,Orland_Jaskolski@yahoo.com,(659) 695-1415,5484 Opal Summit,Marcelton,NE,06378,54,Program Officer,2020-10-02
461,Juana,Schamberger,Juana.Schamberger10@gmail.com,(628) 566-3237,255 Post Road,South Madelynncester,UT,90986,,Program Participant,2023-12-24
462,Amparo,Renner,Amparo.Renner@gmail.com,(818) 836-0956,741 Marsh Lane,Lake Eladioton,VA,27806,,Program Participant,2024-02-26
463,Leone,D'Amore,Leone.DAmore19@yahoo.com,(662) 993-4763,769 Hilda Ferry,Schoenworth,MN,96269-9682,,Program Participant,2021-05-01
464,Johnnie,Satterfield,Johnnie.Satterfield80@hotmail.com,(255) 890-5699,7047 Krajcik Pines,Mission,SC,75035-7492,,Volunteer,2024-01-12
465,Glen,Nicolas,Glen_Nicolas@gmail.com,(338) 308-3448,471 Carson Tunnel,Port Darrelport,VA,22945-4326,,Program Participant,2021-08-03
466,Julien,Muller,Julien.Muller@hotmail.com,(589) 983-9880,9454 Long Lane,Port Lavada,NJ,73081-7030,57,Foundation Contact,2022-10-29
467,Armani,Kutch-Jacobi,Armani_Kutch-Jacobi@hotmail.com,(393) 754-6314,143 Hackett Estates,Lake Tessiemouth,IA,89326,,Event Attendee,2024-03-13
468,Danika,Leuschke,Danika.Leuschke@hotmail.com,(400) 386-0325,52076 Beahan Throughway,Fort Javonborough,PA,34496-2122,,Program Participant,2021-03-31
469,Carolyn,Welch,Carolyn_Welch79@yahoo.com,(829) 770-5880,77927 Lonie Groves,Strackebury,NE,43181,,Program Participant,2023-06-11
470,Matt,Schaden,Matt_Schaden68@gmail.com,(648) 588-8783,1785 Adrien Ramp,Macfield,MI,95699,,Event Attendee,2020-11-10
471,Cameron,Rolfson,Cameron.Rolfson72@yahoo.com,(724) 916-5565,282 Moss Lane,Homenickborough,TX,96461,,Individual Donor,2022-10-13
472,Chaim,Wuckert,Chaim_Wuckert73@yahoo.com,(519) 457-9764,919 Jackson Street,South Madisen,IN,14271,,Individual Donor,2024-12-19
473,Karine,Kuhn,Karine.Kuhn16@hotmail.com,(580) 961-0523,880 Sedrick Underpass,Ignacioberg,WI,16290,,Program Participant,2020-01-12
474,Arianna,Bode,Arianna.Bode@gmail.com,(938) 642-7921,691 Railroad Avenue,Jordytown,WA,00066-4355,,Individual Donor,2020-02-08
475,Edd,Stehr,Edd.Stehr@gmail.com,(363) 806-6977,629 Witting Orchard,Sayreville,KY,07936-5786,,Program Participant,2022-01-29
476,Seth,Rath,Seth.Rath77@yahoo.com,(224) 706-7671,993 Brekke Fields,Grapevine,NY,71343-9848,58,Accounts Payable,2021-11-18
477,Leopold,Prohaska,Leopold_Prohaska@hotmail.com,(757) 200-4295,182 Stehr Squares,Waco,MN,33475-8706,,Program Participant,2022-05-13
478,Geraldine,Larson,Geraldine_Larson@gmail.com,(895) 357-7052,7075 Green Street,Darianaworth,MO,42509-8765,,Program Participant,2025-05-25
479,Dino,Fisher,Dino.Fisher71@gmail.com,(926) 504-5870,15636 Ruthe Square,Virginia Beach,LA,71314,,Event Attendee,2022-12-27
480,Johanna,Robel,Johanna_Robel45@hotmail.com,(347) 978-7809,827 Clifton Road,Fort Oscar,IA,44326-7818,,Individual Donor,2021-05-18
481,Nicolas,Runte-Homenick,Nicolas.Runte-Homenick29@hotmail.com,(514) 370-5108,4122 Ullrich Unions,North Dejahburgh,CA,55537,,Volunteer,2024-06-22
482,Leopoldo,Torphy,Leopoldo.Torphy91@hotmail.com,(894) 577-3121,43798 Woodlands,Rolfsonworth,AL,79889-5005,,Program Participant,2022-05-10
483,Vena,Sawayn,Vena.Sawayn65@hotmail.com,(359) 365-7196,438 Maple Drive,Port Eddietown,SD,69552-3741,,Volunteer,2020-07-05
484,Oscar,Oberbrunner,Oscar.Oberbrunner62@gmail.com,(333) 257-5814,70160 W 14th Street,Schuppeside,IL,14570-2637,,Event Attendee,2021-04-04
485,Montana,Powlowski,Montana_Powlowski@gmail.com,(383) 970-4374,966 Stroman Wells,Mooreton,OR,71627-2620,,Program Participant,2023-06-06
486,Treva,Simonis,Treva.Simonis@hotmail.com,(338) 556-3242,133 D'Amore Locks,Kuphalchester,AR,96817-1435,,Program Participant,2021-08-19
487,Francis,Schaefer,Francis_Schaefer25@gmail.com,(581) 701-3088,18614 Sporer Cape,Mikaylaworth,SD,77789,,Volunteer,2020-07-13
488,Cora,Rice,Cora.Rice14@gmail.com,(277) 608-9278,39499 Green Skyway,West Owenview,HI,71223-7760,,Event Attendee,2018-09-17
489,Kellie,Roberts,Kellie.Roberts76@hotmail.com,(755) 866-7935,66139 Emmerich Course,Katarinaborough,NY,15081,65,Foundation Contact,2023-08-26
490,Roxanne,Auer,Roxanne.Auer@gmail.com,(905) 776-7312,9204 Maple Street,Marceloburgh,PA,36877,,Individual Donor,2019-10-18
491,Francis,Spencer,Francis_Spencer@hotmail.com,(531) 938-7796,21951 Kingsway,Eagan,MD,88524-9674,,Individual Donor,2022-11-18
492,Olin,Satterfield,Olin.Satterfield23@gmail.com,(337) 606-4927,363 Martin Luther King Boulevard,Hattieville,FL,68004,,Event Attendee,2023-12-30
493,Jensen,Gerhold,Jensen.Gerhold@gmail.com,(447) 576-4596,3436 Abshire Place,Evangelineland,ID,94010,,Program Participant,2023-03-10
494,Suzanne,Boyer-Turcotte,Suzanne.Boyer-Turcotte7@yahoo.com,(755) 339-2951,1820 Magali Wall,South Chesleyfort,CO,15850,,Event Attendee,2023-01-19
495,Scott,Sporer,Scott.Sporer@gmail.com,(765) 464-1611,560 Dulce Cliffs,West Vivienne,ND,91460,,Volunteer,2023-11-19
496,Hazle,Robel,Hazle.Robel@hotmail.com,(208) 970-2985,9948 Langworth Canyon,Stephaniafort,SC,32353,,Event Attendee,2023-01-14
497,Luz,Deckow-Rath,Luz_Deckow-Rath78@yahoo.com,(544) 345-5852,50750 N Pearl Street,Tulsa,WA,19427,,Individual Donor,2021-06-06
498,Marc,Vandervort,Marc_Vandervort13@hotmail.com,(269) 898-8554,678 Moss Lane,Hattieton,MI,88051-2947,,Program Participant,2020-05-07
499,Tracey,Rempel-Harber,Tracey_Rempel-Harber31@hotmail.com,(570) 659-2243,827 E High Street,East Coleton,OR,82468,,Event Attendee,2022-11-03
500,Regan,Wyman,Regan_Wyman@hotmail.com,(900) 554-3609,75847 Salisbury Road,Bergstromberg,WI,53034-2155,,Program Participant,2021-04-19
